level,rep,group,diet_no,ratio,yeast,sugar,CFU_AP,CFU_LB,Fecundity,Weight,Protein,Glucose,TAG,Average_counts_L,Average_counts_D,sleep_time_L,sleep_time_D
45,1,AP,1,00:01,0,45,2400,0,1,1.31715,0.582799875,0.032981809,0.106215297,81.77319588,52.01041667,57.41666667,78.24848485
45,1,AP+LB,1,00:01,0,45,3600,100,0,1.336,0.965455287,0.021710822,0.131536319,,,,
45,1,AX,1,00:01,0,45,0,0,1,1.27025,0.767910723,0.034988738,0.147022214,,,,
45,1,CV,1,00:01,0,45,4800,1550,0,1.2843125,0.240418068,0.020521944,0.108523823,95.04123711,37.79166667,59.46794872,105.2025641
45,1,LB,1,00:01,0,45,0,2700,1,1.2349,0.319208739,0.026671645,0.135628541,104.3608247,65.59375,35.825,54.29722222
45,2,AP,1,00:01,0,45,200,0,5,1.3234,0.27,0.028639576,0.183,32.78350515,29.61458333,47.60833333,48.15222222
45,2,AP+LB,1,00:01,0,45,550,550,0,1.634,0.38839542,0.014989895,0.106116654,55.53608247,48.38541667,53.44,73.22592593
45,2,AX,1,00:01,0,45,0,0,0,1.1994,0.792,0.030212976,0.164843419,,,,
45,2,CV,1,00:01,0,45,76800,1550,0,1.3604,0.532,0.019118739,0.126961967,28.6185567,23.69791667,40.25833333,40.671875
45,2,LB,1,00:01,0,45,0,850,0,1.1996,0.322,0.029174122,0.206,43.30927835,30.59375,61.65972222,67.89565217
45,3,AP,1,00:01,0,45,850,0,0,1.3208,0.478179094,0.02279425,0.210616843,149.0824742,61.35416667,31.11666667,58.21222222
45,3,AP+LB,1,00:01,0,45,3000,200,1,1.588,0.73928259,0.012927333,0.124804203,60.71134021,42.48958333,41.74166667,44.24385965
45,3,AX,1,00:01,0,45,0,0,0,1.198,0.221538267,0.021601743,0.132,77.05154639,18.48958333,55.97777778,68.6780303
45,3,CV,1,00:01,0,45,,54400,0,1.1416,0.758404555,0.016221177,0.115433208,59.04123711,40.875,45.8,38.26428571
45,3,LB,1,00:01,0,45,0,23200,1,1.2322,0.035175826,0.019440075,0.154451005,62.59793814,42.19791667,42.15555556,44.59097222
45,4,AP,1,00:01,0,45,4400,0,9,1.3074,0.872784793,0.017888955,0.184794853,67.51546392,72.6875,42.83809524,36.13888889
45,4,AP+LB,1,00:01,0,45,2525,1100,1,1.679,0.657555185,0.012418182,0.120997866,,,,
45,4,AX,1,00:01,0,45,0,0,0,1.3002,0.571966533,0.015707643,0.184735967,36.83505155,25.25,34.1625,60.90416667
45,4,CV,1,00:01,0,45,5600,7200,0,1.31425,0.686245946,0.013491169,0.145914061,,,,
45,4,LB,1,00:01,0,45,0,3066.666667,0,1.1778,0.827902644,0.016294064,0.124167991,74.79381443,60.89583333,50.80277778,43.05416667
45,5,AP,1,00:01,0,45,1530,0,0,1.317,0.427,0.020857631,0.123052715,,,,
45,5,AP+LB,1,00:01,0,45,4000,8400,0,1.9628,0.220519575,0.011440691,0.182107176,38.28865979,24.5,32.06666667,41.06568627
45,5,AX,1,00:01,0,45,0,0,2,1.3834,0.356803139,0.013800888,0.141,68.19587629,42.6875,52.93333333,49.27898551
45,5,CV,1,00:01,0,45,200,0,2.5,1.321,0.595084052,0.020646857,0.173296619,59.67010309,51.53125,57.47037037,76.14615385
45,5,LB,1,00:01,0,45,0,7033.333333,1,1.33,0.851,0.015623474,0.124829161,,,,
45,6,AP,1,00:01,0,45,,,,,,,,,,,
45,6,AP+LB,1,00:01,0,45,,,,,,,,,,,
45,6,AX,1,00:01,0,45,0,0,,,,,,,,,
